date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
2014-11-02 12:39:22,2,3,66,220,54870,636.4815,1079676,1,0,9,2015-10-11,2015-10-15,6,0,1,5405,6,0,1,4,8,126,66
2014-08-20 19:13:46,2,3,117,373,16218,,145975,0,0,9,2014-09-27,2014-09-30,3,3,2,11917,1,0,1,0,140,59,92
2014-10-13 12:40:44,23,1,1,457,6693,656.0343,1067677,0,0,5,2014-12-31,2015-01-04,2,0,1,8253,1,0,1,6,70,19,51
2014-04-10 18:17:35,2,3,66,258,4687,5581.4867,179461,1,0,9,2014-08-11,2014-08-13,2,0,1,792,1,0,1,6,208,1480,67
2014-10-23 12:56:53,2,3,66,348,43040,,971368,0,0,1,2014-10-27,2014-10-29,2,0,1,12014,1,0,2,2,50,644,68
2013-03-25 18:30:34,2,3,66,363,31283,,172916,0,0,9,2013-08-17,2013-08-18,2,1,1,8253,1,0,2,6,70,19,11
2014-10-24 11:14:42,11,3,205,330,13971,257.7114,95263,0,0,9,2014-10-27,2014-10-29,4,0,2,26272,6,1,1,2,198,975,7
2014-11-11 17:55:27,37,1,69,761,41949,,168578,0,0,9,2014-11-18,2014-11-21,1,0,1,45327,6,0,1,2,50,675,56
2014-07-15 13:46:54,2,3,66,184,2037,611.8046,488305,0,1,0,2014-12-25,2014-12-28,2,4,1,8250,1,0,1,2,50,628,45
2014-09-10 18:22:21,2,3,66,174,5938,76.33,287385,0,0,1,2014-10-04,2014-10-05,2,0,1,4273,3,0,1,2,50,366,18
2014-05-28 09:23:19,2,3,152,545,51071,,969295,0,0,9,2014-07-19,2014-07-22,6,0,2,20968,6,1,1,6,144,1324,59
2013-03-23 20:00:06,11,3,66,442,55448,189.4126,1124094,1,0,9,2013-03-24,2013-03-25,2,1,1,26862,6,0,4,2,50,745,5
2014-11-03 15:20:45,2,3,66,322,44140,1728.4542,906548,1,1,0,2015-03-22,2015-03-27,2,2,1,8279,1,0,2,2,50,1230,70
2013-08-10 18:33:14,2,3,66,467,10851,1331.8438,109659,1,0,9,2013-10-09,2013-10-11,2,0,1,12206,6,0,1,2,50,628,79
2014-01-16 08:31:44,2,3,66,174,55922,95.0004,647367,0,0,2,2014-01-17,2014-01-18,2,0,1,24282,6,0,3,2,50,355,48
2014-06-17 21:59:44,24,2,3,50,50576,,215012,0,0,9,2014-06-27,2014-06-29,2,0,1,669,3,0,2,2,50,212,84
2014-12-05 23:38:53,2,3,66,462,49272,614.0224,1172654,0,0,2,2014-12-12,2014-12-14,2,0,1,24193,6,0,1,2,50,360,91
2014-05-26 09:38:07,2,3,66,442,16876,802.8949,468780,0,0,0,2014-06-19,2014-06-23,6,0,2,8250,1,0,1,2,50,628,47
2014-12-14 08:12:06,2,3,66,174,19302,412.5981,614460,0,0,9,2015-01-01,2015-01-04,2,0,1,8250,1,0,1,2,50,628,88
2014-06-05 17:11:08,2,3,66,220,2086,4693.4969,914800,0,0,1,2014-06-29,2014-07-01,4,0,1,8788,1,1,1,6,77,2,5
2014-04-20 03:21:33,37,1,69,750,1393,,18030,1,1,9,2014-08-20,2014-09-01,0,0,1,8739,1,0,1,6,144,4,29
2014-03-07 17:19:24,2,3,66,153,20706,96.3877,203682,0,0,0,2014-04-17,2014-04-18,4,0,2,23693,1,0,1,2,50,1634,37
2013-02-02 09:20:50,11,3,205,135,36086,8192.9493,807185,0,0,9,2013-02-22,2013-02-26,2,1,1,8286,1,0,2,0,63,1258,98
2013-06-29 03:30:21,2,3,66,260,31773,374.7922,683348,1,0,2,2013-07-06,2013-07-13,1,0,1,27006,6,0,1,2,50,895,35
2014-09-27 20:02:10,46,2,167,41,49050,,1125140,0,1,6,2014-12-17,2014-12-21,6,0,3,6523,1,1,1,3,5,44,57
2013-10-25 18:47:07,2,3,66,174,31206,400.8163,524021,0,1,9,2013-11-13,2013-11-15,1,1,1,12206,6,0,6,2,50,628,54
2014-11-11 08:37:54,23,1,1,158,22681,656.9773,965592,0,0,0,2014-11-23,2014-11-25,2,0,1,53959,3,0,1,6,77,774,46
2014-07-17 07:16:03,2,3,66,315,9913,1399.931,1114601,0,1,0,2014-08-11,2014-08-17,2,0,1,14984,1,0,1,2,50,1457,10
2014-05-01 19:50:03,2,3,66,337,18732,,294121,0,1,9,2014-07-30,2014-08-05,1,0,1,8791,1,0,2,4,8,110,65
2013-07-17 20:44:54,13,1,46,171,3515,233.0791,1167889,0,0,0,2013-08-03,2013-08-04,2,0,1,22829,6,0,1,6,144,1364,82
2013-04-30 20:29:20,2,3,231,68,42296,,82936,0,0,9,2013-05-27,2013-05-31,2,0,1,12269,6,1,1,2,50,1230,41
2014-05-25 20:26:09,2,3,66,335,4452,,269528,0,0,5,2014-07-20,2014-07-25,2,1,1,6450,1,0,1,4,128,195,44
2014-08-16 08:59:08,24,2,3,50,5703,,218203,0,0,2,2014-08-30,2014-08-31,2,0,1,6573,6,0,1,3,171,61,59
2013-09-21 10:48:34,2,3,66,311,48189,36.0738,809229,1,1,9,2014-05-01,2014-05-03,2,0,1,8223,1,0,2,2,50,690,37
2014-07-25 11:12:19,15,1,55,436,30355,,984141,0,1,9,2014-08-14,2014-08-21,3,0,1,24362,1,0,1,6,68,280,29
2014-04-14 14:44:42,8,4,77,824,15015,657.309,936269,0,0,5,2014-05-30,2014-06-02,2,0,1,22133,1,0,1,0,63,1045,9
2013-08-11 05:43:27,2,3,66,337,34769,923.6565,839429,1,1,9,2013-08-24,2013-08-25,1,0,1,8268,1,0,1,2,50,682,77
2014-04-01 10:21:26,2,3,66,174,20019,,1131138,0,1,9,2014-05-30,2014-06-01,2,0,1,8250,1,0,1,2,50,628,45
2013-11-02 17:36:11,2,3,66,174,26368,2421.4959,596494,0,1,9,2013-12-11,2013-12-17,2,0,1,11938,1,0,1,4,8,126,65
2014-11-02 23:54:32,17,1,133,21,6270,,520075,0,1,9,2015-07-19,2015-07-29,1,0,1,8281,1,0,3,2,50,663,39
2014-11-20 05:46:35,2,3,205,354,25315,313.167,270358,0,0,9,2015-02-13,2015-02-15,2,0,1,26227,6,0,1,2,198,384,95
2014-06-19 21:02:01,2,3,12,790,53139,,944820,0,0,2,2014-07-21,2014-08-02,2,0,1,8790,1,0,1,6,199,5,3
2013-07-15 13:25:29,2,3,66,332,16946,,65668,0,0,9,2013-08-02,2013-08-05,2,0,1,11318,1,0,1,2,50,1442,25
2014-06-23 13:42:29,2,3,66,348,48862,3962.8387,207013,0,0,3,2014-08-30,2014-08-31,3,1,1,8739,1,0,1,6,144,4,61
2014-11-11 22:00:10,2,3,66,348,37230,,520943,1,1,2,2015-01-11,2015-01-16,2,0,1,958,6,0,1,4,163,1503,87
